Date,Time,TDS (ppm),pH,Temp (°C),WQI,Risk
26/04/2026,13:00,239,6.20,31.75,68.0,MED
26/04/2026,13:05,251,6.27,31.50,60.4,MED
26/04/2026,13:10,263,6.33,31.50,61.8,MED
26/04/2026,13:15,280,6.22,31.50,62.6,MED
26/04/2026,13:20,290,6.15,31.50,63.1,MED
26/04/2026,13:25,323,6.77,31.50,25.2,LOW
26/04/2026,13:30,311,6.73,31.75,25.7,LOW
26/04/2026,13:35,325,6.88,31.75,25.2,LOW
26/04/2026,13:40,320,6.82,31.50,23.7,LOW
26/04/2026,13:45,239,6.18,31.50,67.1,MED
26/04/2026,13:50,303,6.22,31.75,63.2,MED
26/04/2026,13:55,310,6.20,31.75,63.3,MED
26/04/2026,14:00,319,6.50,31.50,30.1,LOW
26/04/2026,14:05,305,6.59,31.50,25.3,LOW
26/04/2026,14:10,298,6.62,31.25,20.5,LOW
26/04/2026,14:15,290,6.63,31.50,20.3,LOW
26/04/2026,14:20,297,6.66,31.25,20.4,LOW
26/04/2026,14:25,302,6.68,31.25,22.0,LOW
26/04/2026,14:30,307,6.70,31.50,22.9,LOW
26/04/2026,14:35,313,6.67,31.50,23.5,LOW
26/04/2026,14:40,319,6.70,31.25,22.8,LOW
26/04/2026,14:45,293,6.69,31.25,21.9,LOW
26/04/2026,14:50,314,6.71,31.25,23.2,LOW
26/04/2026,14:55,326,6.73,31.50,25.2,LOW
26/04/2026,15:00,327,6.78,31.25,25.9,LOW
26/04/2026,15:05,324,6.85,31.25,25.2,LOW
26/04/2026,15:10,326,6.83,31.25,24.9,LOW
26/04/2026,15:15,321,6.86,30.75,24.7,LOW
26/04/2026,15:20,202,6.10,31.50,67.6,MED
26/04/2026,15:25,200,5.96,31.50,69.4,MED
26/04/2026,15:30,205,5.89,31.75,69.0,MED
26/04/2026,15:35,199,5.92,31.75,68.8,MED
26/04/2026,15:40,197,5.89,31.75,67.7,MED
26/04/2026,15:45,198,5.81,31.75,67.9,MED
26/04/2026,15:50,200,5.94,31.50,66.8,MED
26/04/2026,15:55,200,5.97,31.50,67.5,MED
26/04/2026,16:00,199,5.99,31.25,66.6,MED
26/04/2026,16:05,200,6.06,31.25,66.3,MED
26/04/2026,16:10,199,6.10,31.25,67.3,MED
26/04/2026,16:15,199,6.08,31.25,67.1,MED
26/04/2026,16:20,199,6.08,31.00,65.4,MED
26/04/2026,16:25,199,6.18,31.00,66.6,MED
26/04/2026,16:30,200,6.20,31.00,68.2,MED
26/04/2026,16:35,198,6.27,30.75,65.8,MED
26/04/2026,16:40,199,6.31,30.50,59.2,MED
26/04/2026,16:45,197,6.36,30.50,54.1,MED
26/04/2026,16:50,198,6.40,30.50,50.6,MED
26/04/2026,16:55,201,6.60,30.25,20.8,LOW
26/04/2026,17:00,199,6.63,30.00,20.7,LOW
29/04/2026,16:50,71,9.61,30.75,18.2,LOW
29/04/2026,16:55,75,9.60,30.50,18.2,LOW
29/04/2026,17:00,71,9.60,30.50,18.2,LOW
29/04/2026,17:05,69,9.60,30.50,18.2,LOW
29/04/2026,17:10,65,9.61,30.50,18.2,LOW
29/04/2026,17:15,69,9.60,30.25,18.2,LOW
29/04/2026,17:20,68,9.59,30.25,18.2,LOW
29/04/2026,17:25,66,9.60,30.25,18.2,LOW
29/04/2026,17:30,72,9.59,30.25,18.2,LOW
29/04/2026,17:35,66,9.60,30.00,18.2,LOW
29/04/2026,17:40,68,9.59,30.00,18.2,LOW
29/04/2026,17:45,65,9.61,30.00,18.2,LOW
29/04/2026,17:50,61,9.61,30.00,18.2,LOW
29/04/2026,17:55,60,9.61,29.75,18.2,LOW
29/04/2026,18:00,60,9.61,29.75,18.2,LOW
29/04/2026,18:05,62,9.62,29.50,18.2,LOW
29/04/2026,18:10,60,9.61,29.50,18.2,LOW
29/04/2026,18:15,63,9.61,29.25,18.2,LOW
29/04/2026,18:20,61,9.63,29.25,18.2,LOW
29/04/2026,18:25,62,9.60,29.25,18.2,LOW
29/04/2026,18:30,64,9.62,29.00,18.2,LOW
29/04/2026,18:35,57,9.61,29.00,18.2,LOW
29/04/2026,18:40,61,9.64,28.75,18.2,LOW
29/04/2026,18:45,59,9.62,28.75,18.2,LOW
29/04/2026,18:50,55,9.63,28.50,18.2,LOW
29/04/2026,18:55,60,9.62,28.50,18.2,LOW
29/04/2026,19:00,59,9.64,28.50,18.2,LOW
29/04/2026,19:05,62,9.62,28.25,18.2,LOW
29/04/2026,19:10,55,9.62,28.00,18.2,LOW
29/04/2026,19:15,59,9.63,28.00,18.2,LOW
29/04/2026,19:20,60,9.61,28.00,18.2,LOW
29/04/2026,19:25,64,9.63,27.75,18.2,LOW
29/04/2026,19:30,62,9.62,27.75,18.2,LOW
29/04/2026,19:35,60,9.62,27.75,18.2,LOW
29/04/2026,19:40,62,9.62,27.75,18.2,LOW
29/04/2026,19:45,63,9.62,27.50,18.2,LOW
29/04/2026,19:50,62,9.62,27.50,18.2,LOW
29/04/2026,19:55,61,9.62,27.50,18.2,LOW
29/04/2026,20:00,63,9.61,27.75,18.2,LOW
29/04/2026,20:05,60,9.64,27.50,18.2,LOW
29/04/2026,20:10,59,9.63,27.50,18.2,LOW
29/04/2026,20:15,62,9.61,27.50,18.2,LOW
29/04/2026,20:20,57,9.60,27.50,18.2,LOW
29/04/2026,20:25,61,9.60,27.25,18.2,LOW
29/04/2026,20:30,58,9.61,27.25,18.2,LOW
29/04/2026,20:35,57,9.62,27.00,18.2,LOW
29/04/2026,20:40,57,9.62,27.25,18.2,LOW
29/04/2026,20:45,56,9.63,27.25,18.2,LOW
29/04/2026,20:50,57,9.61,27.00,18.2,LOW
04/05/2026,11:30,197,7.80,31.75,19.6,LOW
04/05/2026,11:35,180,7.83,32.00,19.4,LOW
04/05/2026,11:40,184,7.87,32.00,19.1,LOW
04/05/2026,11:45,187,7.84,32.25,19.3,LOW
04/05/2026,11:50,182,7.89,32.75,19.0,LOW
04/05/2026,11:55,184,7.91,33.00,18.8,LOW
04/05/2026,12:00,186,7.90,33.25,18.9,LOW
04/05/2026,12:05,182,7.91,33.50,18.8,LOW
04/05/2026,12:10,184,3.03,34.00,72.7,HIGH
04/05/2026,12:15,183,4.54,34.75,72.7,HIGH
04/05/2026,12:20,183,5.11,35.50,72.7,HIGH
04/05/2026,12:25,188,4.83,36.00,72.7,HIGH
04/05/2026,12:30,188,4.78,36.75,72.7,HIGH
04/05/2026,12:35,480,4.05,37.50,85.7,HIGH
04/05/2026,12:40,476,4.26,38.00,85.7,HIGH
04/05/2026,12:45,471,5.15,38.75,85.7,HIGH
04/05/2026,12:50,469,4.64,39.00,85.7,HIGH
04/05/2026,12:55,467,5.04,39.50,85.7,HIGH
04/05/2026,13:00,462,5.08,39.75,85.7,HIGH
04/05/2026,13:05,466,5.04,39.50,85.7,HIGH
04/05/2026,13:10,466,4.58,39.25,85.7,HIGH
04/05/2026,13:15,467,4.20,39.00,85.7,HIGH
04/05/2026,13:20,406,2.85,39.25,85.7,HIGH
04/05/2026,13:25,403,2.85,39.50,85.7,HIGH
04/05/2026,13:30,400,2.85,39.50,85.7,HIGH
04/05/2026,13:35,404,2.85,39.50,85.7,HIGH
04/05/2026,13:40,404,2.85,39.50,85.7,HIGH
04/05/2026,13:45,405,2.85,39.25,85.7,HIGH
04/05/2026,13:50,406,2.85,39.50,85.7,HIGH
04/05/2026,13:55,403,2.85,39.50,85.7,HIGH
04/05/2026,14:00,402,2.85,39.25,85.7,HIGH
04/05/2026,14:05,401,2.85,39.50,85.7,HIGH
04/05/2026,14:10,420,5.56,46.50,85.5,HIGH
04/05/2026,14:15,417,6.38,46.50,68.2,MED
04/05/2026,14:20,421,7.06,46.00,55.0,MED
04/05/2026,14:25,424,7.09,45.50,55.0,MED
04/05/2026,14:30,429,7.23,45.00,55.0,MED
04/05/2026,14:35,430,7.16,44.50,55.0,MED
04/05/2026,14:40,418,7.29,44.50,55.0,MED
04/05/2026,14:45,433,7.18,44.00,55.0,MED
04/05/2026,14:50,388,7.31,44.00,47.8,LOW
04/05/2026,14:55,389,7.41,43.50,48.3,LOW
04/05/2026,15:00,389,7.27,43.50,48.3,LOW
04/05/2026,15:05,390,7.29,43.00,48.9,LOW
04/05/2026,15:10,390,7.32,43.00,48.9,LOW
04/05/2026,15:15,386,7.56,43.00,34.2,LOW
04/05/2026,15:20,391,7.38,42.50,49.4,LOW
04/05/2026,15:25,390,7.25,42.50,48.9,LOW
04/05/2026,15:30,392,6.97,42.00,50.0,LOW